SMILES,Activity,MolWt,LogP,NumHDonors,NumHAcceptors,NumRings,NumRotatableBonds,NumHeavyAtoms,NumHeteroatoms,NumAromaticRings,TPSA,FractionCSP3
CN1CCN(CC1)C2=NC3=C(N2CCC4=CC=C(C=C4)OC)C(=O)NC(=O)N3C,0,398.46700000000016,0.4264000000000006,1.0,8.0,4.0,5.0,29.0,9.0,3.0,88.39000000000001,0.45
CC1=CC(=C(C=C1)NC(=O)NCC2=CC=C(C=C2)OC)C,1,284.35900000000004,3.633740000000002,2.0,2.0,2.0,4.0,21.0,4.0,2.0,50.36,0.23529411764705882
CC1CCCCN1S(=O)(=O)C2=CC=CC3=C2N=CC=C3,0,290.38800000000003,2.797900000000001,0.0,3.0,3.0,2.0,20.0,5.0,2.0,50.27,0.4
CC1=C(C=C(C=C1)C2=NN=C(C3=CC=CC=C32)NCC4=NC5=CC=CC=C5N4)S(=O)(=O)N(C)C,1,472.5740000000002,4.343920000000003,2.0,6.0,5.0,6.0,34.0,9.0,5.0,103.86999999999999,0.16
C1CN(CCC1C(=O)N)C(=O)CCC(=O)C2=CC=C(C=C2)F,0,306.337,1.5124999999999988,1.0,3.0,2.0,5.0,22.0,6.0,1.0,80.47,0.4375
CC(C(=O)N1CCOCC1)SC2=NN=C(O2)C3=CC=CC=C3Br,0,398.282,2.8385000000000007,0.0,6.0,3.0,4.0,23.0,8.0,2.0,68.46000000000001,0.4
C1CCC2=C(C1)C(=C(S2)NC(=O)CSC3=NNC(=N3)C4=CC=CO4)C(=O)NC5=CC=CC=C5,1,479.58700000000016,4.988100000000003,3.0,7.0,5.0,7.0,33.0,10.0,4.0,112.91,0.21739130434782608
CCCOC1=CC=C(C=C1)C2=C(N=NN2C3=NON=C3N)C(=O)NN=CC4CCC=CC4,0,436.4760000000002,2.760200000000001,2.0,10.0,4.0,8.0,32.0,11.0,3.0,146.33999999999997,0.3333333333333333
CC1=C2C(=O)C=C(NC2=NC(=N1)C3=CC=CC=C3)C4=CC=CC=C4,1,313.36,3.9605200000000025,1.0,3.0,4.0,2.0,24.0,4.0,4.0,58.64,0.05
CCOC(=O)C1CCCN(C1)C(=O)C2=CC=C(O2)CS(=O)(=O)CC3=CC=CC=C3C,0,433.5260000000002,3.1183200000000024,0.0,6.0,3.0,7.0,30.0,8.0,2.0,93.88999999999999,0.45454545454545453
CCOC(=O)C1=C(N=C(S1)NC(=O)COC2=CC3=C(C=C2)OCO3)C,1,364.37900000000013,2.3744200000000006,1.0,8.0,3.0,6.0,25.0,9.0,2.0,95.98,0.3125
CC1=C(C=CC2=C1OC(=O)C3=C2C=CC(=C3)OC)OC(C)C(=O)NCC4CCC(CC4)C(=O)O,0,467.5180000000003,4.037720000000002,2.0,6.0,4.0,7.0,34.0,8.0,3.0,115.07000000000001,0.4230769230769231
CC1=CC(=O)OC2=C1C=CC(=C2)OC(=O)C3CCN(CC3)C(=O)C4=CC=C(C=C4)F,0,409.4130000000001,3.6983200000000025,0.0,5.0,4.0,3.0,30.0,7.0,3.0,76.82,0.2608695652173913
COC1=CC(=CC(=C1OC)OC)C(=O)NNC(=S)NC(=O)C=CC2=CC=CC=C2,1,415.47100000000006,2.0612999999999992,3.0,6.0,2.0,6.0,29.0,9.0,2.0,97.92000000000002,0.15
CC1=CC(=CC=C1)C=NNC(=O)C2=CC3=C(S2)C4=CC=CC=C4CC3,1,346.4550000000001,4.586020000000004,1.0,3.0,4.0,3.0,25.0,4.0,3.0,41.46,0.14285714285714285
CC(C)CNC(=O)NC(=O)COC(=O)C1=CC(=CC(=C1)F)F,1,314.28799999999995,1.6033999999999997,2.0,4.0,1.0,5.0,22.0,8.0,1.0,84.5,0.35714285714285715
CCOC1=CC2=C3C(=CC=C4C3=NON4)N=C2C=C1,1,253.261,3.256000000000001,1.0,4.0,4.0,2.0,19.0,5.0,4.0,63.940000000000005,0.14285714285714285
C1CN(CCN1C2=CC=C(C=C2)Cl)S(=O)(=O)C3=CC4=C(C=C3)N=C(N4)C5=CC=CC=C5,1,452.96700000000016,4.394200000000003,1.0,4.0,5.0,4.0,31.0,8.0,4.0,69.30000000000001,0.17391304347826086
COC1=CC=C(C=C1)NC(=S)NC2=CC=CC=C2C(F)(F)F,0,326.343,4.522900000000002,2.0,2.0,2.0,3.0,22.0,7.0,2.0,33.29,0.13333333333333333
CC(C)CC1=NC2=C(C(=O)N1)N=NN2CC3=CC=CC=C3F,0,301.32500000000005,1.9004999999999994,1.0,5.0,3.0,4.0,22.0,7.0,3.0,76.46000000000001,0.3333333333333333
C1=CSC(=C1)C=C(C2=CC=CS2)C(=O)OCC(=O)NC3=CC=C(C=C3)S(=O)(=O)N,1,448.54700000000014,3.1795,2.0,7.0,3.0,7.0,29.0,10.0,3.0,115.55999999999999,0.05263157894736842
CC1=C(C=C(C=C1)NC(=O)CNC2=CC(=CC=C2)S(=O)(=O)N3CCCC3)F,0,391.4680000000002,2.9692200000000017,2.0,4.0,3.0,6.0,27.0,8.0,2.0,78.51,0.3157894736842105
CC1=CC=CC=C1N2C3=C(C(=O)N(C2=O)CC4=CC=CO4)NC=N3,0,322.324,1.8252199999999996,1.0,6.0,4.0,3.0,24.0,7.0,4.0,85.82000000000001,0.11764705882352941
CCOC(=O)NC1=C(C=CC(=C1)C(=O)OC)C,0,237.25499999999997,2.3500200000000007,1.0,4.0,1.0,3.0,17.0,5.0,1.0,64.63,0.3333333333333333
C1=CC=NC(=C1)C2=NN=C3N2N=C(C=C3)SCC(=O)NC4=C(C=C(C=C4)F)F,0,398.3980000000001,3.1953000000000005,1.0,7.0,4.0,5.0,28.0,10.0,4.0,85.07,0.05555555555555555
COC(=O)COC1=CC=C(C=C1)C=NNC(=O)C2=CC=C(C=C2)N(CC3=CC=CC=C3)S(=O)(=O)C,1,495.55700000000024,2.9685000000000015,1.0,7.0,3.0,10.0,35.0,10.0,3.0,114.37,0.16
