Bioactivity_ID,Activity,Compound_CID,SMILES
66455236,Inactive,665485,CN1CCN(CC1)C2=NC3=C(N2CCC4=CC=C(C=C4)OC)C(=O)NC(=O)N3C
83282869,Active,6469913,CC1=CC(=C(C=C1)NC(=O)NCC2=CC=C(C=C2)OC)C
66347256,Inactive,4522106,CC1CCCCN1S(=O)(=O)C2=CC=CC3=C2N=CC=C3
83282465,Active,6407175,CC1=C(C=C(C=C1)C2=NN=C(C3=CC=CC=C32)NCC4=NC5=CC=CC=C5N4)S(=O)(=O)N(C)C
66403528,Inactive,2401200,C1CN(CCC1C(=O)N)C(=O)CCC(=O)C2=CC=C(C=C2)F
66486319,Inactive,17428490,CC(C(=O)N1CCOCC1)SC2=NN=C(O2)C3=CC=CC=C3Br
66367103,Active,2205156,C1CCC2=C(C1)C(=C(S2)NC(=O)CSC3=NNC(=N3)C4=CC=CO4)C(=O)NC5=CC=CC=C5
66327701,Inactive,9685305,CCCOC1=CC=C(C=C1)C2=C(N=NN2C3=NON=C3N)C(=O)NN=CC4CCC=CC4
66481110,Active,5339079,CC1=C2C(=O)C=C(NC2=NC(=N1)C3=CC=CC=C3)C4=CC=CC=C4
66470658,Inactive,3238107,CCOC(=O)C1CCCN(C1)C(=O)C2=CC=C(O2)CS(=O)(=O)CC3=CC=CC=C3C
85384285,Active,6493294,CCOC(=O)C1=C(N=C(S1)NC(=O)COC2=CC3=C(C=C2)OCO3)C
66324251,Inactive,4836381,CC1=C(C=CC2=C1OC(=O)C3=C2C=CC(=C3)OC)OC(C)C(=O)NCC4CCC(CC4)C(=O)O
66239616,Inactive,24981811,CC1=CC(=O)OC2=C1C=CC(=C2)OC(=O)C3CCN(CC3)C(=O)C4=CC=C(C=C4)F
66281898,Active,5925253,COC1=CC(=CC(=C1OC)OC)C(=O)NNC(=S)NC(=O)C=CC2=CC=CC=C2
66356043,Active,9637108,CC1=CC(=CC=C1)C=NNC(=O)C2=CC3=C(S2)C4=CC=CC=C4CC3
66351967,Active,2477922,CC(C)CNC(=O)NC(=O)COC(=O)C1=CC(=CC(=C1)F)F
66306274,Active,872665,CCOC1=CC2=C3C(=CC=C4C3=NON4)N=C2C=C1
66366852,Active,9551101,C1CN(CCN1C2=CC=C(C=C2)Cl)S(=O)(=O)C3=CC4=C(C=C3)N=C(N4)C5=CC=CC=C5
66240543,Inactive,977046,COC1=CC=C(C=C1)NC(=S)NC2=CC=CC=C2C(F)(F)F
66349135,Inactive,135495849,CC(C)CC1=NC2=C(C(=O)N1)N=NN2CC3=CC=CC=C3F
66512880,Active,2385410,C1=CSC(=C1)C=C(C2=CC=CS2)C(=O)OCC(=O)NC3=CC=C(C=C3)S(=O)(=O)N
66493665,Inactive,9083867,CC1=C(C=C(C=C1)NC(=O)CNC2=CC(=CC=C2)S(=O)(=O)N3CCCC3)F
66295035,Inactive,557426,CC1=CC=CC=C1N2C3=C(C(=O)N(C2=O)CC4=CC=CO4)NC=N3
66321597,Inactive,3309818,CCOC(=O)NC1=C(C=CC(=C1)C(=O)OC)C
66415086,Inactive,7190480,C1=CC=NC(=C1)C2=NN=C3N2N=C(C=C3)SCC(=O)NC4=C(C=C(C=C4)F)F
66530034,Active,9564324,COC(=O)COC1=CC=C(C=C1)C=NNC(=O)C2=CC=C(C=C2)N(CC3=CC=CC=C3)S(=O)(=O)C
66538103,Inactive,9564046,C1=CC(=CC(=C1)[N+](=O)[O-])NC(=O)COC2=CC=C(C=C2)C=NNC(=O)C3=CC=C(C=C3)O
