Common_Name,SMILES,MorganFingerprint,Predicted_Prob,Predicted_Activity
"(3Z)-6-(4-HYDROXY-3-METHOXYPHENYL)-3-(1H-PYRROL-2-YLMETHYLENE)-1,3-DIHYDRO-2H-INDOL-2-ONE",COc1cc(-c2ccc3c(c2)NC(=O)/C3=C\c2ccc[nH]2)ccc1O,[0 0 0 ... 0 0 0],0.9971853,1
PEN-866,CCc1c2c(nc3ccc(OC(=O)N4CCC(CCn5ccc6cc(-n7c(-c8cc(C(C)C)c(O)cc8O)n[nH]c7=O)ccc65)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,[0 1 0 ... 0 0 0],0.99481404,1
"Furo[2,3d]Pyrimidine Antifolate",CN(Cc1coc2nc(N)nc(N)c12)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,[0 1 0 ... 0 0 0],0.99460936,1
Carotegrast methyl,COC(=O)[C@H](Cc1ccc(-n2c(=O)c3cc(N(C)C)ccc3n(C)c2=O)cc1)NC(=O)c1c(Cl)cccc1Cl,[0 1 0 ... 0 0 0],0.99169683,1
"4-{5-[(Z)-(2-Imino-4-Oxo-1,3-Thiazolidin-5-Ylidene)methyl]furan-2-Yl}benzenesulfonamide",N=C1NC(=O)/C(=C/c2ccc(-c3ccc(S(N)(=O)=O)cc3)o2)S1,[0 0 0 ... 0 0 0],0.9911243,1
Dirocaftor,C[Si](C)(C)c1cc([Si](C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,[0 0 0 ... 0 0 0],0.9901704,1
Cytidine-5'-Monophosphate-5-N-Acetylneuraminic Acid,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)O[C@](OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(N)nc3=O)[C@H](O)[C@@H]2O)(C(=O)O)C[C@@H]1O,[0 1 0 ... 0 0 0],0.9899755,1
"10-Propargyl-5,8-Dideazafolic Acid",C#CCN(Cc1ccc2[nH]c(N)nc(=O)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,[0 1 0 ... 0 0 0],0.9889382,1
E-6005,CNc1nc(-c2cccc(NC(=O)c3ccc(C(=O)OC)cc3)c2)c2cc(OC)c(OC)cc2n1,[0 0 0 ... 0 0 0],0.9888198,1
(E)-3-(5((5-(4-CHLOROPHENYL)FURAN-2-YL)METHYLENE)-4-OXO-2-THIOXOTHIAZOLIDIN-3-YL)PROPANOIC ACID,O=C(O)CCN1C(=O)/C(=C\c2ccc(-c3ccc(Cl)cc3)o2)SC1=S,[0 0 0 ... 0 0 0],0.9885351,1
"2-[4-(DIMETHYLAMINO)PHENYL]-6-HYDROXY-3-METHYL-1,3-BENZOTHIAZOL-3-IUM",CN(C)c1ccc(-c2sc3cc(O)ccc3[n+]2C)cc1,[0 0 0 ... 0 0 0],0.98831344,1
"4-{5-[(Z)-(2-IMINO-4-OXO-1,3-THIAZOLIDIN-5-YLIDENE)METHYL]FURAN-2-YL}-2-(TRIFLUOROMETHYL)BENZENESULFONAMIDE",N=C1NC(=O)/C(=C/c2ccc(-c3ccc(S(N)(=O)=O)c(C(F)(F)F)c3)o2)S1,[0 0 0 ... 0 0 0],0.987563,1
"4-{5-[(Z)-(2,4-DIOXO-1,3-THIAZOLIDIN-5-YLIDENE)METHYL]FURAN-2-YL}BENZENESULFONAMIDE",NS(=O)(=O)c1ccc(-c2ccc(/C=C3\SC(=O)NC3=O)o2)cc1,[0 0 0 ... 0 0 0],0.9875372,1
"8-Benzyl-2-Hydroperoxy-2-(4-Hydroxy-Benzyl)-6-(4-Hydroxy-Phenyl)-2h-Imidazo[1,2-a]Pyrazin-3-One",O=C1N2C=C(c3ccc(O)cc3)N=C(Cc3ccccc3)C2=N[C@@]1(Cc1ccc(O)cc1)OO,[0 0 0 ... 0 0 0],0.9870853,1
Agerafenib,COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C(F)(F)F)on4)c3)c2cc1OC,[0 0 0 ... 0 0 0],0.9864639,1
Myricetin,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,[0 0 0 ... 0 0 0],0.9863912,1
"N-[4-(2-CHLOROPHENYL)-1,3-DIOXO-1,2,3,6-TETRAHYDROPYRROLO[3,4-C]CARBAZOL-9-YL]FORMAMIDE",O=CNc1ccc2[nH]c3cc(-c4ccccc4Cl)c4c(c3c2c1)C(=O)NC4=O,[0 0 0 ... 0 0 0],0.9863685,1
Ukrain cation,C[N+]1(CCNP(=S)(NCC[N+]2(C)Cc3c(ccc4c3OCO4)[C@@H]3[C@H]2c2cc4c(cc2C[C@@H]3O)OCO4)NCC[N+]2(C)Cc3c(ccc4c3OCO4)[C@@H]3[C@H]2c2cc4c(cc2C[C@@H]3O)OCO4)Cc2c(ccc3c2OCO3)[C@@H]2[C@H]1c1cc3c(cc1C[C@@H]2O)OCO3,[0 0 0 ... 0 0 0],0.9856947,1
Dacinostat,O=C(/C=C/c1ccc(CN(CCO)CCc2c[nH]c3ccccc23)cc1)NO,[0 0 0 ... 0 0 0],0.98543304,1
Methotrexate,CN(Cc1cnc2nc(=N)[nH]c(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,[0 1 0 ... 0 0 0],0.98418117,1
PBT-434,CCNCc1nc2c(O)c(Cl)cc(Cl)c2c(=O)n1C,[0 0 0 ... 0 0 0],0.98402196,1
Tricetin,O=c1cc(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,[0 0 0 ... 0 0 0],0.983198,1
