SMILES	MOL_WEIGHT	LOGP	#ROTATABLE_BONDS	#ACCEPTORS	#DONORS	SURFACE_AREA	Water solubility	Caco2 permeability	Intestinal absorption (human)	Skin Permeability	P-glycoprotein substrate	P-glycoprotein I inhibitor	P-glycoprotein II inhibitor	VDss (human)	Fraction unbound (human)	BBB permeability	CNS permeability	CYP2D6 substrate	CYP3A4 substrate	CYP1A2 inhibitior	CYP2C19 inhibitior	CYP2C9 inhibitior	CYP2D6 inhibitior	CYP3A4 inhibitior	Total Clearance	Renal OCT2 substrate	AMES toxicity	Max. tolerated dose (human)	hERG I inhibitor	hERG II inhibitor	Oral Rat Acute Toxicity (LD50)	Oral Rat Chronic Toxicity (LOAEL)	Hepatotoxicity	Skin Sensitisation	<i>T.Pyriformis</i> toxicity	Minnow toxicity
CC(C)(CO)c1cc2cc(NC(=O)C3(c4ccc5c(c4)OC(F)(F)O5)CC3)c(F)cc2n1C[C@@H](O)CO	520.504	3.3953	8	7	4	209.775	-4.751	0.456	94.889	-2.736	Yes	Yes	Yes	-0.2	0	-1.536	-3.485	No	Yes	No	Yes	Yes	No	Yes	-0.352	No	No	-0.034	No	Yes	2.447	1.976	Yes	No	0.288	2.474
N[C@@H](Cc1cc(N/C(=C/C=O)COc2ccc3ccccc3c2)c(O)cc1O)C(=O)O	422.437	2.7791	9	7	5	177.744	-3.075	-0.827	52.785	-2.735	Yes	No	No	-1.443	0	-1.523	-3.565	No	No	Yes	No	No	No	No	0.702	No	No	0.619	No	No	2.445	3.161	No	No	0.285	1.134
C#CCOc1ccc2c(c1)c(-c1ccc(C(C)C)cc1)nc(=O)n2Cc1ccc2nc(Br)cnc2c1	539.433	5.9529	6	6	0	216.694	-4.655	1.094	100	-2.735	No	Yes	Yes	-0.393	0.344	-0.999	-1.895	No	Yes	No	Yes	Yes	No	No	0.143	No	No	0.578	No	Yes	3.134	0.369	Yes	No	0.285	-3.407
O=C1NC(=O)c2c1c(-c1ccccc1)cc1[nH]c3ccc(O)cc3c21	328.327	3.5773	1	3	3	141.452	-3.232	0.652	96.998	-2.735	Yes	No	Yes	-0.689	0.15	-0.697	-1.883	Yes	Yes	Yes	Yes	Yes	No	No	0.216	No	Yes	0.597	No	Yes	2.262	1.421	Yes	No	0.285	-0.13
C=CCn1nc(-c2ccc(O)cc2O)c2cccc(C(F)(F)F)c21	334.297	4.3193	3	4	2	134.633	-4.014	1.296	90.851	-2.768	Yes	No	Yes	-0.117	0.07	-0.083	-2.005	No	No	Yes	Yes	Yes	No	Yes	0.222	No	No	0.494	No	Yes	2.55	0.913	Yes	No	0.464	0.005
O=C(/C=C(\O)c1nc[nH]n1)c1ccc(Cc2ccc(F)cc2)o1	313.288	2.9094	5	5	2	129.848	-2.612	0.537	75.882	-2.755	No	No	No	-0.28	0.162	-1.829	-3.012	No	No	Yes	Yes	Yes	No	No	0.359	No	No	0.872	No	No	2.876	1.02	No	No	0.289	3.834
CCc1c2c(nc3ccc(OC(=O)N4CCC(CCn5ccc6cc(-n7c(-c8cc(C(C)C)c(O)cc8O)n[nH]c7=O)ccc65)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC	879.971	6.9734	9	14	4	371.851	-2.892	-0.397	79.76	-2.735	Yes	No	Yes	-0.934	0.331	-2.637	-3.596	No	Yes	No	No	No	No	No	-2.016	No	No	0.433	No	Yes	2.543	4.397	Yes	No	0.285	-2.594
Cc1c(NC(=O)c2cc(C(N)=O)nc3cc(F)ccc23)c(C(F)(F)F)nn1Cc1ccc(C#N)cc1	496.424	4.1688	5	6	2	200.511	-4.618	0.709	100	-2.741	Yes	Yes	Yes	-0.227	0.05	-0.959	-2.357	No	Yes	No	Yes	Yes	No	Yes	-0.237	No	No	0.117	No	Yes	2.671	1.147	Yes	No	0.29	-0.836
COc1cc[nH]c1/C=C1\C(=O)Nc2ccc(F)c(C#C[C@@H](O)[C@@H](N)[C@@H](C)O)c21	385.395	1.0756	4	5	5	160.570	-2.81	-0.239	66.116	-2.757	Yes	No	No	0.45	0.29	-1.039	-3.02	No	No	No	No	No	No	No	0.926	No	No	0.143	No	Yes	2.225	2.578	Yes	No	0.288	2.97
CO[C@@H](C)Cn1c(=O)n(C)c2cnc3ccc(-c4cncc(C(C)(C)O)c4)cc3c21	406.486	3.2125	5	7	1	174.129	-3.104	1.448	95.859	-2.735	Yes	Yes	Yes	0.411	0.273	-0.971	-2.672	No	Yes	Yes	Yes	Yes	No	Yes	1.011	Yes	Yes	0.496	No	Yes	2.528	0.671	Yes	No	0.285	-0.033
