SMILES	MOL_WEIGHT	LOGP	#ROTATABLE_BONDS	#ACCEPTORS	#DONORS	SURFACE_AREA	Water solubility	Caco2 permeability	Intestinal absorption (human)	Skin Permeability	P-glycoprotein substrate	P-glycoprotein I inhibitor	P-glycoprotein II inhibitor	VDss (human)	Fraction unbound (human)	BBB permeability	CNS permeability	CYP2D6 substrate	CYP3A4 substrate	CYP1A2 inhibitior	CYP2C19 inhibitior	CYP2C9 inhibitior	CYP2D6 inhibitior	CYP3A4 inhibitior	Total Clearance	Renal OCT2 substrate	AMES toxicity	Max. tolerated dose (human)	hERG I inhibitor	hERG II inhibitor	Oral Rat Acute Toxicity (LD50)	Oral Rat Chronic Toxicity (LOAEL)	Hepatotoxicity	Skin Sensitisation	<i>T.Pyriformis</i> toxicity	Minnow toxicity
COc1ccc2c(c1)[C@]1(C[C@H]1c1ccc3c(/C=C/c4ccc(CN5C[C@@H](C)O[C@@H](C)C5)cc4)n[nH]c3c1)C(=O)N2	534.66	5.7285	6	5	2	233.725	-3.69	0.785	91.924	-2.735	Yes	Yes	Yes	-0.483	0.04	-0.804	-1.985	Yes	Yes	No	Yes	Yes	Yes	Yes	1.301	No	No	0.158	No	Yes	2.689	3.407	Yes	No	0.285	-0.418
COc1ccc2c(Oc3ccc4c(C(=O)Nc5ccccc5N)cccc4c3)ccnc2c1	435.483	6.0234	5	5	2	190.137	-3.569	1.016	96.261	-2.735	Yes	Yes	Yes	-0.97	0.213	0.022	-1.715	No	Yes	Yes	Yes	Yes	No	Yes	0.245	No	Yes	0.384	No	Yes	3.335	2.17	Yes	No	0.285	-2.878
Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1	375.407	4.90362	3	3	4	160.121	-3.045	0.347	87.484	-2.735	Yes	Yes	Yes	-1.273	0	-1.512	-2.003	No	Yes	Yes	Yes	Yes	No	No	-0.328	No	Yes	0.616	No	Yes	2.481	2.523	Yes	No	0.285	1.085
CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC	586.689	4.0911	4	9	1	249.756	-3.763	1.28	86.667	-2.732	Yes	Yes	Yes	1.416	0.163	-1.053	-3.144	No	Yes	No	No	No	No	Yes	0.974	No	No	-0.039	No	Yes	3.067	2.022	Yes	No	0.285	0.985
Cc1ccc(NC(=O)C2(c3ccc4c(c3)OC(F)(F)O4)CC2)nc1-c1cccc(C(=O)O)c1	452.413	4.74702	5	5	2	186.533	-4.024	0.616	73.828	-2.734	Yes	No	No	-1.426	0	-0.534	-2.793	No	No	No	No	Yes	No	No	-0.115	No	No	1.286	No	No	2.795	1.484	Yes	No	0.286	-1.308
COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C(F)(F)F)on4)c3)c2cc1OC	517.464	5.9112	7	8	2	208.285	-4.28	0.766	95.069	-2.735	Yes	Yes	Yes	-0.341	0.11	-1.465	-3.312	No	Yes	No	Yes	Yes	No	Yes	-0.15	Yes	No	0.834	No	Yes	2.544	1.328	Yes	No	0.285	-0.925
O=C(c1c(F)ccc(NS(=O)(=O)N2CC[C@@H](F)C2)c1F)c1c[nH]c2ncc(-c3cnc(C4CC4)nc3)cc12	542.543	4.107	7	6	2	214.867	-3.988	0.785	99.964	-2.735	Yes	Yes	Yes	0.335	0.031	-2.236	-4.096	No	Yes	No	No	Yes	No	Yes	0.541	No	No	0.328	No	Yes	2.597	1.334	Yes	No	0.285	0.517
Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21	469.548	5.89378	3	6	0	207.257	-2.904	1.209	97.975	-2.735	Yes	Yes	Yes	-0.411	0.335	-0.642	-1.51	No	Yes	Yes	No	Yes	No	Yes	0.779	Yes	No	0.375	No	Yes	2.46	-0.107	No	No	0.285	-1.53
O=C1CCc2c(Oc3ccc4c(c3)[C@@H]3[C@H](O4)[C@H]3c3nc4ccc(C(F)(F)F)cc4[nH]3)ccnc2N1	478.43	5.2957	3	5	2	195.848	-2.909	1.314	78.501	-2.735	Yes	Yes	Yes	0.028	0.201	-1.073	-2.119	Yes	No	Yes	Yes	Yes	No	Yes	1.033	Yes	Yes	0.352	No	Yes	2.394	1.6	Yes	No	0.285	-0.116
C[C@H](Nc1ncnc2[nH]cnc12)c1cc2cccc(Cl)c2c(=O)n1-c1ccccc1	416.872	4.4835	4	6	2	175.951	-2.904	0.897	96.964	-2.735	Yes	Yes	Yes	-0.135	0.326	-1.475	-2.316	No	No	Yes	Yes	No	No	Yes	0.508	Yes	No	0.436	No	Yes	2.601	-0.281	Yes	No	0.285	2.078
CCOc1ccc2c(-c3cccc(F)c3)nn(CC(=O)N(C)c3ccc4nc(C)oc4c3)c(=O)c2c1	486.503	4.71392	6	7	0	205.092	-4	1.162	100	-2.735	No	Yes	Yes	0.002	0.28	-1.364	-3.069	No	Yes	No	Yes	Yes	No	Yes	0.521	No	No	0.802	No	Yes	3.078	0.984	Yes	No	0.285	-4.175
c1ccc2nc(COc3ccc(-c4n[nH]cc4Cc4ccncc4)cc3)ccc2c1	392.462	5.1897	6	4	1	173.964	-3.224	1.053	97.003	-2.735	Yes	Yes	Yes	0.22	0.118	0.234	-2.121	Yes	Yes	Yes	Yes	Yes	Yes	Yes	0.945	No	No	0.635	No	Yes	3.171	0.969	Yes	No	0.285	-0.085
CNc1nc(-c2cccc(NC(=O)c3ccc(C(=O)OC)cc3)c2)c2cc(OC)c(OC)cc2n1	472.501	4.3946	7	8	2	201.62	-4.033	1.49	89.868	-2.735	Yes	Yes	Yes	-0.569	0.159	-0.625	-3.142	No	Yes	No	Yes	Yes	No	Yes	0.539	No	No	0.348	No	Yes	2.242	1.65	Yes	No	0.285	-0.309
COC(=O)c1c(O)cccc1OC/C=C/c1ccc(F)c(-c2cc(C(=O)O)no2)c1	413.357	3.7633	7	7	2	169.315	-4.148	1.044	61.593	-2.735	Yes	No	No	-0.955	0.124	-0.921	-3.404	No	No	No	No	No	No	No	0.488	No	No	0.483	No	No	2.642	1.601	Yes	No	0.285	-1.758
FC(F)(c1ccc2ncccc2c1)c1nnc2ccc(-c3ccncc3)nn12	374.354	3.8746	3	6	0	157.077	-2.839	1.211	100	-2.734	No	Yes	Yes	0.753	0.287	-1.18	-2.96	No	Yes	Yes	Yes	Yes	No	Yes	0.202	No	No	0.031	No	Yes	2.192	0.751	Yes	No	0.285	1.802
CNC(=O)c1ccc(-c2cnc3ncc(Cc4ccc5ncccc5c4)n3n2)cc1F	412.428	3.429	4	6	1	176.164	-2.904	1.433	96.373	-2.735	Yes	Yes	Yes	-0.364	0.28	-1.154	-3.35	No	Yes	Yes	Yes	Yes	Yes	Yes	0.715	Yes	No	0.331	No	Yes	2.488	0.88	Yes	No	0.285	-0.757
Cn1c(COc2ccc(CC3SC(=O)NC3=O)cc2)nc2ccccc2c1=O	395.44	2.4066	5	7	1	164.274	-4.53	1.209	96.124	-2.772	No	Yes	Yes	-0.488	0.059	-0.887	-2.606	No	Yes	Yes	Yes	Yes	No	No	-0.154	No	No	0.015	No	Yes	2.333	1.025	Yes	No	0.43	0.4
C[C@@]1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)C=CSC(N)=N1	367.409	3.13508	3	6	2	153.195	-4.636	0.939	89.119	-3.306	Yes	No	No	0.015	0.17	-0.669	-2.942	No	Yes	No	Yes	Yes	No	No	-0.431	No	Yes	0.084	No	No	2.446	0.939	No	No	0.773	2.114
CC(C)NC(=O)COc1cccc(-c2nc(Nc3ccc4[nH]ncc4c3)c3ccccc3n2)c1	452.518	4.8201	7	6	3	195.945	-3.131	0.712	95.105	-2.735	Yes	Yes	Yes	-0.625	0.178	-1.424	-2.421	No	Yes	Yes	Yes	Yes	Yes	Yes	0.324	No	Yes	0.484	No	Yes	2.95	1.743	Yes	No	0.285	-1.211
Cn1cc(-c2ccc3nnc(C(F)(F)c4ccc5ncccc5c4)n3n2)cn1	377.358	3.2131	3	7	0	156.829	-2.8	1.203	100	-2.733	No	Yes	No	0.526	0.302	-1.298	-2.91	No	Yes	Yes	No	Yes	No	Yes	0.165	No	Yes	0.044	No	Yes	2.16	0.762	Yes	No	0.285	0.9
