Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 1,COc1ccc2c(c1)[C@]1(C[C@H]1c1ccc3c(c1)[nH]nc3/C=C/c1ccc(cc1)CN1C[C@H](C)O[C@@H](C1)C)C(=O)N2,C33H34N4O3,534.65,40,21,0.33,6,5,2,164.71,79.48,4.32,4.74,4.41,3.43,6.07,4.59,-6.13,3.93e-04,7.35e-07,Poorly soluble,-6.14,3.88e-04,7.26e-07,Poorly soluble,-9.65,1.20e-07,2.25e-10,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-6.20,1,3,0,0,0,0.55,0,0,2,5.53
Molecule 2,COc1ccc2c(c1)nccc2Oc1ccc2c(c1)cccc2C(=O)Nc1ccccc1N,C27H21N3O3,435.47,33,26,0.04,6,4,2,130.88,86.47,3.43,5.09,5.84,3.20,4.53,4.42,-5.93,5.07e-04,1.17e-06,Moderately soluble,-6.65,9.77e-05,2.24e-07,Poorly soluble,-9.81,6.76e-08,1.55e-10,Poorly soluble,High,No,No,Yes,Yes,Yes,Yes,Yes,-5.34,0,2,0,0,1,0.55,0,1,2,2.60
Molecule 3,O=C(Nc1cc(C)ccc1F)Nc1ccc(cc1)c1cccc2c1c(N)n[nH]2,C21H18FN5O,375.40,28,21,0.05,5,3,4,109.58,95.83,2.00,3.86,4.95,3.75,3.58,3.63,-4.82,5.63e-03,1.50e-05,Moderately soluble,-5.57,1.01e-03,2.70e-06,Moderately soluble,-8.25,2.13e-06,5.66e-09,Poorly soluble,High,No,No,Yes,Yes,No,No,Yes,-5.85,0,0,0,0,0,0.55,0,0,2,2.81
Molecule 4,CC[C@@]1(O)C(=O)OCc2c1cc1c3nc4ccc(cc4c(c3Cn1c2=O)CC)OC(=O)N1CCC(CC1)N1CCCCC1,C33H38N4O6,586.68,43,16,0.52,6,8,1,169.63,114.20,4.95,3.74,3.07,2.55,4.33,3.73,-5.71,1.14e-03,1.94e-06,Moderately soluble,-5.83,8.67e-04,1.48e-06,Moderately soluble,-7.28,3.09e-05,5.26e-08,Poorly soluble,High,No,Yes,No,No,Yes,Yes,Yes,-7.22,1,3,0,0,0,0.55,0,0,2,5.59
Molecule 5,O=C(C1(CC1)c1ccc2c(c1)OC(O2)(F)F)Nc1ccc(c(n1)c1cccc(c1)C(=O)O)C,C24H18F2N2O5,452.41,33,18,0.21,6,8,2,113.98,97.75,3.08,4.44,5.33,2.69,4.78,4.06,-5.45,1.61e-03,3.55e-06,Moderately soluble,-6.21,2.78e-04,6.15e-07,Poorly soluble,-7.81,6.97e-06,1.54e-08,Poorly soluble,High,No,Yes,Yes,Yes,Yes,Yes,Yes,-5.91,0,0,0,0,0,0.56,0,0,2,3.28
Molecule 6,COc1cc2c(ncnc2cc1OC)Oc1cccc(c1)NC(=O)Nc1noc(c1)C(C(F)(F)F)(C)C,C24H22F3N5O5,517.46,37,21,0.25,10,11,2,127.28,120.63,3.20,4.97,6.79,2.81,3.74,4.30,-5.94,5.95e-04,1.15e-06,Moderately soluble,-7.24,2.97e-05,5.73e-08,Poorly soluble,-8.76,8.93e-07,1.73e-09,Poorly soluble,Low,No,No,Yes,Yes,Yes,No,Yes,-5.93,1,2,0,1,1,0.55,0,0,3,3.98
Molecule 7,F[C@@H]1CCN(C1)S(=O)(=O)Nc1ccc(c(c1F)C(=O)c1c[nH]c2c1cc(cn2)c1cnc(nc1)C1CC1)F,C25H21F3N6O3S,542.53,38,21,0.28,7,10,2,136.81,129.32,2.97,2.76,5.81,2.43,3.94,3.58,-4.89,7.00e-03,1.29e-05,Moderately soluble,-5.13,4.01e-03,7.40e-06,Moderately soluble,-8.55,1.53e-06,2.82e-09,Poorly soluble,Low,No,Yes,Yes,Yes,Yes,Yes,Yes,-7.65,1,3,0,0,0,0.55,0,0,1,4.24
Molecule 8,N#CC(c1ccc(cc1)n1c(=O)n(c2c1c1cc(ccc1nc2)c1cnc2c(c1)cccc2)C)(C)C,C30H23N5O,469.54,36,29,0.13,3,4,0,143.85,76.50,3.36,5.23,5.89,3.86,5.36,4.74,-6.44,1.69e-04,3.60e-07,Poorly soluble,-6.58,1.22e-04,2.60e-07,Poorly soluble,-9.96,5.16e-08,1.10e-10,Poorly soluble,High,No,No,No,Yes,Yes,No,No,-5.45,0,2,0,1,1,0.55,0,0,2,3.39
Molecule 9,O=C1CCc2c(N1)nccc2Oc1ccc2c(c1)[C@@H]1[C@H](O2)[C@H]1c1nc2c([nH]1)cc(cc2)C(F)(F)F,C25H17F3N4O3,478.42,35,21,0.24,4,8,2,122.03,89.13,2.97,3.73,5.88,3.05,5.00,4.13,-5.34,2.21e-03,4.61e-06,Moderately soluble,-5.29,2.43e-03,5.09e-06,Moderately soluble,-8.69,9.84e-07,2.06e-09,Poorly soluble,High,No,Yes,Yes,No,Yes,Yes,Yes,-6.57,0,1,0,0,0,0.55,0,0,2,4.47
Molecule 10,Clc1cccc2c1c(=O)n(c(c2)[C@@H](Nc1ncnc2c1nc[nH]2)C)c1ccccc1,C22H17ClN6O,416.86,30,25,0.09,4,4,2,118.40,88.49,2.61,4.10,3.97,3.10,3.88,3.53,-5.36,1.82e-03,4.36e-06,Moderately soluble,-5.66,9.04e-04,2.17e-06,Moderately soluble,-8.60,1.06e-06,2.54e-09,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,No,-5.93,0,0,0,0,0,0.55,0,0,2,3.57
